Series ID,ndemplsa,ndlfprsa,gfemplnsa,ndemplnsa,ndlfprnsa
"Nov
1998",335184,71.1,52102,333021,70.3
"Dec
1998",334497,71.0,51518,329869,70.0
"Jan
1999",333644,71.0,50646,325217,69.8
"Feb
1999",332772,70.8,51186,325895,70.0
"Mar
1999",332017,70.6,50892,325018,69.7
"Apr
1999",331521,70.5,50814,328214,70.0
"May
1999",331295,70.4,50452,334474,70.7
"Jun
1999",331279,70.5,51223,339967,72.6
"Jul
1999",331414,70.5,51050,339458,72.2
"Aug
1999",331616,70.5,51023,338393,71.7
"Sep
1999",331791,70.5,51956,334172,70.5
"Oct
1999",331917,70.5,52421,334690,70.4
"Nov
1999",332081,70.5,52247,329624,69.7
"Dec
1999",332299,70.6,51825,328005,69.6
"Jan
2000",332476,70.6,48986,323616,69.5
"Feb
2000",332590,70.6,49534,325608,69.7
"Mar
2000",332712,70.6,49457,326642,70.0
"Apr
2000",332809,70.7,49915,331725,70.6
"May
2000",332824,70.7,49812,334747,70.8
"Jun
2000",332704,70.7,50161,340122,72.4
"Jul
2000",332460,70.7,49825,341231,72.3
"Aug
2000",332255,70.6,50075,339745,72.1
"Sep
2000",332257,70.6,50005,333624,70.4
"Oct
2000",332575,70.7,50810,334933,70.4
"Nov
2000",333169,70.8,50431,329458,69.7
"Dec
2000",333887,70.9,50633,329932,70.0
"Jan
2001",334528,71.0,49695,326717,70.0
"Feb
2001",334908,71.1,50932,328569,70.3
"Mar
2001",334851,71.1,50747,329660,70.6
"Apr
2001",334370,71.0,50608,332228,70.7
"May
2001",333683,70.8,50131,335716,70.9
"Jun
2001",332979,70.7,50096,340313,72.4
"Jul
2001",332394,70.6,49091,341334,72.2
"Aug
2001",331875,70.5,49255,337102,71.4
"Sep
2001",331402,70.4,50172,334540,70.5
"Oct
2001",330982,70.4,51490,334182,70.4
"Nov
2001",330589,70.4,50804,327539,69.4
"Dec
2001",330280,70.4,50692,325761,69.4
"Jan
2002",330124,70.4,49555,320507,69.0
"Feb
2002",330092,70.4,50074,324723,69.8
"Mar
2002",330136,70.5,49686,324180,69.9
"Apr
2002",330284,70.6,50281,328236,70.3
"May
2002",330496,70.6,49626,333427,70.9
"Jun
2002",330748,70.7,49581,338346,72.5
"Jul
2002",330995,70.7,48850,338160,72.0
"Aug
2002",331234,70.7,49254,337889,71.9
"Sep
2002",331433,70.8,50643,334894,71.0
"Oct
2002",331563,70.8,51715,334562,70.7
"Nov
2002",331699,70.8,51594,328282,69.9
"Dec
2002",331857,70.9,51366,327013,69.8
"Jan
2003",332079,70.9,50124,323553,69.8
"Feb
2003",332403,71.0,50536,325763,70.1
"Mar
2003",332815,71.1,50714,327432,70.5
"Apr
2003",333238,71.2,51194,331581,70.9
"May
2003",333663,71.3,50723,336081,71.5
"Jun
2003",334185,71.4,50360,342007,73.3
"Jul
2003",334863,71.5,49953,342049,72.8
"Aug
2003",335700,71.6,50425,342375,72.9
"Sep
2003",336655,71.7,51404,339053,71.8
"Oct
2003",337607,71.9,52721,340863,71.9
"Nov
2003",338434,72.0,53053,336025,71.2
"Dec
2003",339091,72.0,52588,334320,71.0
"Jan
2004",339557,72.1,51488,331226,71.0
"Feb
2004",339935,72.1,52020,333154,71.2
"Mar
2004",340405,72.1,51829,334093,71.4
"Apr
2004",340977,72.2,51789,339329,71.9
"May
2004",341568,72.3,51999,343918,72.4
"Jun
2004",342095,72.3,51738,349368,74.1
"Jul
2004",342488,72.3,51551,351596,74.1
"Aug
2004",342693,72.4,51697,349730,73.6
"Sep
2004",342724,72.3,52428,344031,72.1
"Oct
2004",342653,72.3,53424,345737,72.3
"Nov
2004",342570,72.3,53724,340529,71.6
"Dec
2004",342566,72.3,52885,337622,71.3
"Jan
2005",342697,72.3,52524,333946,71.0
"Feb
2005",342924,72.3,52700,336128,71.5
